source_id,raw_latitude,raw_longitude,reason
10295,,,invalid_or_unknown_coordinate_system
10296,,,invalid_or_unknown_coordinate_system
10297,,,invalid_or_unknown_coordinate_system
10298,,,invalid_or_unknown_coordinate_system
10301,,,invalid_or_unknown_coordinate_system
10302,,,invalid_or_unknown_coordinate_system
10303,,,invalid_or_unknown_coordinate_system
10304,,,invalid_or_unknown_coordinate_system
10305,,,invalid_or_unknown_coordinate_system
10307,,,invalid_or_unknown_coordinate_system
10308,,,invalid_or_unknown_coordinate_system
10309,,,invalid_or_unknown_coordinate_system
10310,,,invalid_or_unknown_coordinate_system
10311,,,invalid_or_unknown_coordinate_system
10312,,,invalid_or_unknown_coordinate_system
10313,,,invalid_or_unknown_coordinate_system
10315,,,invalid_or_unknown_coordinate_system
10316,,,invalid_or_unknown_coordinate_system
10318,,,invalid_or_unknown_coordinate_system
10319,,,invalid_or_unknown_coordinate_system
10320,,,invalid_or_unknown_coordinate_system
10321,,,invalid_or_unknown_coordinate_system
10322,,,invalid_or_unknown_coordinate_system
10323,,,invalid_or_unknown_coordinate_system
10324,,,invalid_or_unknown_coordinate_system
10325,,,invalid_or_unknown_coordinate_system
10327,,,invalid_or_unknown_coordinate_system
10328,,,invalid_or_unknown_coordinate_system
10329,,,invalid_or_unknown_coordinate_system
10331,,,invalid_or_unknown_coordinate_system
10332,,,invalid_or_unknown_coordinate_system
10333,,,invalid_or_unknown_coordinate_system
10334,,,invalid_or_unknown_coordinate_system
10336,,,invalid_or_unknown_coordinate_system
10337,,,invalid_or_unknown_coordinate_system
10338,,,invalid_or_unknown_coordinate_system
10339,,,invalid_or_unknown_coordinate_system
10340,,,invalid_or_unknown_coordinate_system
10341,,,invalid_or_unknown_coordinate_system
10342,,,invalid_or_unknown_coordinate_system
10343,,,invalid_or_unknown_coordinate_system
10344,,,invalid_or_unknown_coordinate_system
10345,,,invalid_or_unknown_coordinate_system
10346,,,invalid_or_unknown_coordinate_system
10347,,,invalid_or_unknown_coordinate_system
10348,,,invalid_or_unknown_coordinate_system
10349,,,invalid_or_unknown_coordinate_system
10350,,,invalid_or_unknown_coordinate_system
10351,,,invalid_or_unknown_coordinate_system
10352,,,invalid_or_unknown_coordinate_system
10353,,,invalid_or_unknown_coordinate_system
10354,,,invalid_or_unknown_coordinate_system
10356,,,invalid_or_unknown_coordinate_system
10357,,,invalid_or_unknown_coordinate_system
10359,,,invalid_or_unknown_coordinate_system
10360,,,invalid_or_unknown_coordinate_system
10361,,,invalid_or_unknown_coordinate_system
10362,,,invalid_or_unknown_coordinate_system
10363,,,invalid_or_unknown_coordinate_system
10364,,,invalid_or_unknown_coordinate_system
10365,,,invalid_or_unknown_coordinate_system
10366,,,invalid_or_unknown_coordinate_system
10367,,,invalid_or_unknown_coordinate_system
10368,,,invalid_or_unknown_coordinate_system
10369,,,invalid_or_unknown_coordinate_system
10370,,,invalid_or_unknown_coordinate_system
10373,,,invalid_or_unknown_coordinate_system
10374,,,invalid_or_unknown_coordinate_system
10376,,,invalid_or_unknown_coordinate_system
10377,,,invalid_or_unknown_coordinate_system
10378,,,invalid_or_unknown_coordinate_system
10379,,,invalid_or_unknown_coordinate_system
10380,,,invalid_or_unknown_coordinate_system
10381,,,invalid_or_unknown_coordinate_system
10382,,,invalid_or_unknown_coordinate_system
10383,,,invalid_or_unknown_coordinate_system
10384,,,invalid_or_unknown_coordinate_system
10387,,,invalid_or_unknown_coordinate_system
10388,,,invalid_or_unknown_coordinate_system
10389,,,invalid_or_unknown_coordinate_system
10390,,,invalid_or_unknown_coordinate_system
10391,,,invalid_or_unknown_coordinate_system
10392,,,invalid_or_unknown_coordinate_system
10393,,,invalid_or_unknown_coordinate_system
10395,,,invalid_or_unknown_coordinate_system
10407,,,invalid_or_unknown_coordinate_system
10408,,,invalid_or_unknown_coordinate_system
10409,,,invalid_or_unknown_coordinate_system
10410,,,invalid_or_unknown_coordinate_system
10411,,,invalid_or_unknown_coordinate_system
10412,,,invalid_or_unknown_coordinate_system
10413,,,invalid_or_unknown_coordinate_system
10414,,,invalid_or_unknown_coordinate_system
10415,,,invalid_or_unknown_coordinate_system
10416,,,invalid_or_unknown_coordinate_system
10419,,,invalid_or_unknown_coordinate_system
10420,,,invalid_or_unknown_coordinate_system
10421,,,invalid_or_unknown_coordinate_system
10423,,,invalid_or_unknown_coordinate_system
10424,,,invalid_or_unknown_coordinate_system
10425,,,invalid_or_unknown_coordinate_system
10426,,,invalid_or_unknown_coordinate_system
10428,,,invalid_or_unknown_coordinate_system
10429,,,invalid_or_unknown_coordinate_system
10430,,,invalid_or_unknown_coordinate_system
10431,,,invalid_or_unknown_coordinate_system
10432,,,invalid_or_unknown_coordinate_system
10433,,,invalid_or_unknown_coordinate_system
10434,,,invalid_or_unknown_coordinate_system
10435,,,invalid_or_unknown_coordinate_system
10436,,,invalid_or_unknown_coordinate_system
10437,,,invalid_or_unknown_coordinate_system
10438,,,invalid_or_unknown_coordinate_system
10439,,,invalid_or_unknown_coordinate_system
10440,,,invalid_or_unknown_coordinate_system
10441,,,invalid_or_unknown_coordinate_system
10442,,,invalid_or_unknown_coordinate_system
10443,,,invalid_or_unknown_coordinate_system
10444,,,invalid_or_unknown_coordinate_system
10445,,,invalid_or_unknown_coordinate_system
10446,,,invalid_or_unknown_coordinate_system
10447,,,invalid_or_unknown_coordinate_system
10448,,,invalid_or_unknown_coordinate_system
10449,,,invalid_or_unknown_coordinate_system
10450,,,invalid_or_unknown_coordinate_system
10451,,,invalid_or_unknown_coordinate_system
10452,,,invalid_or_unknown_coordinate_system
10453,,,invalid_or_unknown_coordinate_system
10454,,,invalid_or_unknown_coordinate_system
10455,,,invalid_or_unknown_coordinate_system
10457,,,invalid_or_unknown_coordinate_system
10459,,,invalid_or_unknown_coordinate_system
10460,,,invalid_or_unknown_coordinate_system
10461,,,invalid_or_unknown_coordinate_system
10462,,,invalid_or_unknown_coordinate_system
10463,,,invalid_or_unknown_coordinate_system
10464,,,invalid_or_unknown_coordinate_system
10465,,,invalid_or_unknown_coordinate_system
10466,,,invalid_or_unknown_coordinate_system
10468,,,invalid_or_unknown_coordinate_system
10469,,,invalid_or_unknown_coordinate_system
10470,,,invalid_or_unknown_coordinate_system
10471,,,invalid_or_unknown_coordinate_system
10472,,,invalid_or_unknown_coordinate_system
10473,,,invalid_or_unknown_coordinate_system
10474,,,invalid_or_unknown_coordinate_system
10475,,,invalid_or_unknown_coordinate_system
10476,,,invalid_or_unknown_coordinate_system
10477,,,invalid_or_unknown_coordinate_system
10478,,,invalid_or_unknown_coordinate_system
10479,,,invalid_or_unknown_coordinate_system
10480,,,invalid_or_unknown_coordinate_system
10481,,,invalid_or_unknown_coordinate_system
10482,,,invalid_or_unknown_coordinate_system
10483,,,invalid_or_unknown_coordinate_system
10484,,,invalid_or_unknown_coordinate_system
10485,,,invalid_or_unknown_coordinate_system
10486,,,invalid_or_unknown_coordinate_system
10487,,,invalid_or_unknown_coordinate_system
10488,,,invalid_or_unknown_coordinate_system
10490,,,invalid_or_unknown_coordinate_system
10491,,,invalid_or_unknown_coordinate_system
10492,,,invalid_or_unknown_coordinate_system
10493,,,invalid_or_unknown_coordinate_system
