source_id,shop_name,manager_name,raw_latitude,raw_longitude,reason
115966,مواد غذایی گلچوبیان1,علی گلچوبیان,,,null
115967,مواد غذایی معبودی1,مصطفی معبودی,,,null
115969,سوپر مارکت جواد5,محمد رضا برارپور,,,null
115970,نمایندگی سوپر پایپ1,علیرضا علائی,,,null
115971,سوپر مارکت خانواده2,حسنجان حبیبی ارمکی,,,null
115972,سوپر مارکت گلستان111,کیوان آقاجانی دلاور,,,null
115973,سوپر مارکت رضا34,فتحعلی ابراهیم نژاد دلاور,,,null
115974,مواد غذایی دانیال1,داود پاکار,,,null
115975,مواد غذایی آیلار1,نعمت اله قنبری,,,null
115976,سوپر مارکت معلم زاده1,علی اکبر معلم زاده,,,null
115977,سوپر مارکت یاسین3,کمال رمضانی,,,null
